availability,id,link,title,description,image_link,price
in stock,16054098117030714614410740,https://alphus-u.com/products/solid-buttoned-20-print-boxer-brief,"Solid buttoned ""20"" print boxer brief","<body>
  <ul>
  <li>Viscose</li>
  </ul>
  <table class="""">
  <tbody>
  <tr>
  <td>Size </td>
  <td> Weight(kg)</td>
  </tr>
  <tr>
  <td> M</td>
  <td> 50-57</td>
  </tr>
  <tr>
  <td> L</td>
  <td> 58-65</td>
  </tr>
  <tr>
  <td> XL</td>
  <td> 65-70</td>
  </tr>
  <tr>
  <td> XXL</td>
  <td> 70-77</td>
  </tr>
  </tbody>
  </table>
  <p><br></p>
 </body>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/90c61e62e0a44449a4d0634a3d9c6be1.jpg?w=1920&h=1920,15.99 USD
in stock,16054079692096145530930740,https://alphus-u.com/products/men's-cotton-print-g-string-thong,Men's cotton print g-string thong,"<ul>
 <li>Cotton</li>
 </ul>
 <table>
 <tbody>
 <tr>
 <td>&nbsp;Size</td>
 <td>&nbsp;Waist(cm)</td>
 </tr>
 <tr>
 <td>&nbsp;M&nbsp;</td>
 <td>&nbsp;64-72</td>
 </tr>
 <tr>
 <td>&nbsp;L</td>
 <td>&nbsp;73-80</td>
 </tr>
 <tr>
 <td>&nbsp;XL</td>
 <td>&nbsp;81-87</td>
 </tr>
 </tbody>
 </table>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/8b1c9c45698b4ba998ceece2be8dae56.jpg?w=644&h=966,11.99 USD
in stock,16054079598504613847150740,https://alphus-u.com/products/men's-striped-comfort-pouch-briefs,Men's striped comfort pouch briefs,"<body>
  <ul>
  <li>Polyester</li>
  </ul>
  <table class="""">
  <tbody>
  <tr>
  <td> Size</td>
  <td>Waist(cm)</td>
  </tr>
  <tr>
  <td> M</td>
  <td>66-78 </td>
  </tr>
  <tr>
  <td> L </td>
  <td>77-84</td>
  </tr>
  <tr>
  <td> XL</td>
  <td>84-94</td>
  </tr>
  </tbody>
  </table>
  <p><br></p>
 </body>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/42a7e947091c4d3498aa512ee7f5551c.jpg?w=750&h=685,13.99 USD
in stock,16054037750020164383420740,https://alphus-u.com/products/jockmail-men's-low-waist-cream-print-briefs,JOCKMAIL men's low waist cream print briefs,"<ul>
 <li>Nylon</li>
 </ul>
 <p><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/20e076398ba1400d988e4ba490a9a7a8.jpeg?w=900&amp;h=480"" /></p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/e7f02c771b454b19b58f8e175e02efc9.jpg?w=800&h=800,15.99 USD
in stock,16054026169178392730260740,https://alphus-u.com/products/men's-solid-low-waist-hollow-briefs,Men's solid low waist hollow briefs,"<ul>
 <li>Nylon</li>
 </ul>
 <p><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/7a1f253e3e6541fdb4a162fe5d0a86a3.jpeg?w=840&amp;h=302"" width=""706"" height=""254"" /></p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/2ae530b7ec71447ab4e2c3c68e756b98.jpg?w=800&h=800,13.99 USD
in stock,16054009711576913797290740,https://alphus-u.com/products/sexy-men's-camouflage-thong,Sexy men's camouflage thong,"<ul>
 <li>Nylon</li>
 </ul>
 <p><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/c27edde404e74f33b42431d180d26e8b.jpeg?w=666&amp;h=267"" /></p>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/1f276afe6e8c488397ea29df9da34517.jpg?w=800&h=800,13.99 USD
in stock,16054000303998828011530740,https://alphus-u.com/products/men's-plaid-sexy-high-elastic-thong,Men's plaid sexy high elastic thong,"<ul>
 <li>Polyester</li>
 </ul>
 <table>
 <tbody>
 <tr>
 <td>Size&nbsp;</td>
 <td>S&nbsp;</td>
 <td>&nbsp;M</td>
 <td>L&nbsp;</td>
 <td>&nbsp;XL</td>
 </tr>
 <tr>
 <td>Waist(cm)</td>
 <td>68-78&nbsp;</td>
 <td>75-85&nbsp;</td>
 <td>82-95&nbsp;</td>
 <td>88-105&nbsp;</td>
 </tr>
 </tbody>
 </table>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/87ff2753cd9b4070944f146690425280.jpg?w=1500&h=1500,12.99 USD
in stock,16053985218774289080800740,https://alphus-u.com/products/men's-thin-ice-silk-sexy-perspective-briefs,Men's thin ice silk sexy perspective briefs,"<ul>
 <li style=""text-align: left;"">Nylon</li>
 </ul>
 <p><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/f101d2eb493c42698adfa984f8cc12dd.jpeg?w=714&amp;h=388"" /></p>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/eac557d5dec44059bbc7154d39075693.jpg?w=664&h=664,11.99 USD
in stock,16053953450984091955720740,https://alphus-u.com/products/Men's-bondage-sexy-mesh-ring-g-string-thong,Men's bondage sexy mesh ring g-string thong,"<body>
  <ul>
  <li>Patent leather</li>
  </ul>
  <p><map name=""Map""><area coords=""525,2,702,177"" href=""https://detail.1688.com/offer/838833362.html"" shape=""rect""><area coords=""5,173,177,526"" href=""https://detail.1688.com/offer/719307105.html"" shape=""rect""><area coords=""3,4,177,171"" href=""https://detail.1688.com/offer/719278701.html"" shape=""rect""><area coords=""179,4,526,175"" href=""https://detail.1688.com/offer/603847299.html"" shape=""rect""><area coords=""177,524,526,698"" href=""https://detail.1688.com/offer/603845739.html"" shape=""rect""><area coords=""3,525,176,703"" href=""https://detail.1688.com/offer/1257618823.html"" shape=""rect""><area coords=""525,178,699,522"" href=""https://detail.1688.com/offer/997601086.html"" shape=""rect""><area coords=""529,526,696,694"" href=""https://detail.1688.com/offer/603845524.html"" shape=""rect""><area coords=""178,178,523,521"" href=""https://detail.1688.com/offer/997538814.html"" shape=""rect""></map></p>
  <p><br></p>
 </body>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/ebde2c101f4d48b7b4fac4685389b363.jpg?w=750&h=944,18.99 USD
in stock,16053942259819166454700740,https://alphus-u.com/products/men's-low-waist-sexy-thin-ice-silk-briefs,Men's low waist sexy thin ice silk briefs,"<ul>
 <li>Nylon</li>
 </ul>
 <p><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/a4f4dc35f331412c8fea3ab70da46f56.jpeg?w=480&amp;h=298"" /></p>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/564b81856fc94b0b8f63b43afee38c69.jpg?w=800&h=800,12.99 USD
in stock,16053927800962088080280740,https://alphus-u.com/products/men's-button-easy-to-take-off-sexy-briefs,Men's button easy to take off sexy briefs,"<ul>
 <li style=""text-align: left;"">Cotton</li>
 </ul>
 <p><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/6cf7b2c0fa7540de9b1eab1f85ecd9d8.jpeg?w=710&amp;h=273"" /></p>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/751ae1f82a184335b103afe8e4efb2aa.jpg?w=800&h=800,12.99 USD
in stock,16053915000689175193780740,https://alphus-u.com/products/barely-legal-brief-swimwear,Barely Legal Brief Swimwear,"<p>80% Polyster</p>
 <p><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/8e4d2a37e9144872ac2929037025f2c7.png?w=780&amp;h=291"" alt="""" width=""440"" height=""164"" /></p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/4bbf621b16284fef99f30840c6f0f756.png?w=1000&h=1000,USD
in stock,16053914291686208072270740,https://alphus-u.com/products/send-nvde-tank-top,Send Nvde Tank Top,"<p>80% Polyster<br /><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/8f70b35dadba40ccaa92df02dcf9d634.jpeg?w=800&amp;h=800"" alt="""" width=""608"" height=""608"" /></p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/eb93ae39dc6b4778b7a6d0689aa55bba.jpeg?w=800&h=800,USD
in stock,16053913944645971896710740,https://alphus-u.com/products/send-nvde-boxer-brief-swimwear,Send Nvde Brief Swimwear,"<p>80% Polyster</p>
 <p><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/8e4d2a37e9144872ac2929037025f2c7.png?w=780&amp;h=291"" alt="""" width=""440"" height=""164"" /></p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/39ddd82b410c41d783b63294d7731cea.png?w=1000&h=1000,USD
in stock,16053913522345829109810740,https://alphus-u.com/products/0850-men's-modal-soft-solid-sports-boxers-briefs,0850 men's modal soft solid sports boxers briefs,"<ul>
 <li>Modal</li>
 </ul>
 <p><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/56f6a7d13a8240d7b7c7351c490d0cf6.jpeg?w=750&amp;h=260"" /></p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/c35191a041fa4eada2091a2daf175615.jpg?w=800&h=800,13.99 USD
in stock,16053898832615132794910740,https://alphus-u.com/products/orlvs-men's-sexy-modal-solid-thong,ORLVS men's sexy modal solid thong,"<ul>
 <li>Modal</li>
 </ul>
 <p><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/d4a4f20cc5484a9aa0bbf36377746579.jpeg?w=678&amp;h=305"" /></p>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/97f699289d9a4794a4ee0c2846b55069.jpg?w=800&h=800,14.99 USD
in stock,16053884432207358618210740,https://alphus-u.com/products/0850-men's-striped-breathable-sports-jockstrap,0850 Men's striped breathable sports jockstrap,"<ul>
 <li>Cotton</li>
 </ul>
 <p><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/75dd515c5f1d4284bd8e1e848e71d8db.jpeg?w=729&amp;h=258"" /></p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/53931f35818d4c9793c23fea10e8d355.jpg?w=800&h=800,13.99 USD
in stock,16053852698090376171970740,https://alphus-u.com/products/men's-mesh-g-string-breathable-thong-41479,Men's mesh g-string breathable thong,"<ul>
 <li>Nylon</li>
 </ul>
 <p><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/0c19b8896de647b3a79a5668da53e1c7.jpeg?w=710&amp;h=273"" /></p>
 <p>&nbsp;</p>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/a09d0c4bc4c641559490af3cd2dd23d3.jpg?w=790&h=790,11.99 USD
in stock,16053837790420624076950740,https://alphus-u.com/products/men's-flash-u-convex-breathable-sexy-briefs,Men's flash U convex breathable sexy briefs,"<ul>
 <li>Cotton</li>
 </ul>
 <p><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/362caf7ec6d8431b814afb7f0171ed0f.jpeg?w=716&amp;h=274"" width=""607"" height=""232"" /></p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/f711a51eca404c1e9062a9b1690a6874.jpg?w=800&h=800,13.99 USD
in stock,16053825382036297768960740,https://alphus-u.com/products/men's-low-waist-g-string-sexy-breathable-thong,Men's low waist g-string sexy breathable thong,"<ul>
 <li style=""text-align: left;"">Nylon</li>
 <li style=""text-align: left;""><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/255da9e1664b47b28c19418beb81b32f.jpeg?w=722&amp;h=282"" /></li>
 </ul>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/8a2e3cd8929345909149ab5d82591188.jpg?w=800&h=800,13.99 USD
in stock,16053793942891126057600740,https://alphus-u.com/products/men's-thin-mesh-print-cool-briefs,Men's thin mesh print cool briefs,"<p>&nbsp;</p>
 <ul>
 <li>Nylon</li>
 <li>Our men's underwear is made of high quality soft and skin-like fabric,very comfortable to wear.The thin cool briefs are designed to emphasize the natural beauty of masculinity with the perfect combination of figure and fashion.</li>
 </ul>
 <p><img src=""https://img-va.myshopline.com/image/store/2000557521/1646034907794/1b8f51fba7f146e59f6f6c88f9d936af.jpeg?w=726&amp;h=350"" alt="""" width=""727"" height=""350"" /></p>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/34eacece10664431a5f6295a35aa489c.jpg?w=800&h=800,12.99 USD
in stock,16053780139985109227740740,https://alphus-u.com/products/men's-sports-patchwork-stretch-swimming-trunks,Men's sports patchwork stretch swimming trunks,"<ul>
 <li>Polyester</li>
 <li>Men's swimming trunks suit for beach,beach lawn,pool party,or other outdoor activities. &nbsp;</li>
 </ul>
 <p style=""text-align: left;""><img src=""https://publish-cos.mabangerp.com/product/publish/251705/20220422/251705202204222118196262ab1b12426.jpeg"" alt="""" width=""752"" height=""270"" /></p>
 <p>&nbsp;</p>
 <p>&nbsp;</p>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/a08d106c78bf4d7b8a2e7e9707f712f6.jpg?w=800&h=800,35.99 USD
in stock,16053738335215373752910740,https://alphus-u.com/products/men's-stretch-comfort-patchwork-striped-swim-shorts,Men's stretch comfort patchwork striped swim shorts,"<p>&nbsp;</p>
 <ul>
 <li>Polyester</li>
 <li>Comfort, fashion, and value come together in the original standard swim short.&nbsp;</li>
 </ul>
 <p>&nbsp;</p>
 <p><img src=""https://publish-cos.mabangerp.com/product/publish/251705/20220422/251705202204222118196262ab1b12426.jpeg"" alt=""鎻忚堪鍥?"" /></p>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/9ed47c9d73834ff2872040fc33085b23.jpg?w=800&h=800,27.99 USD
in stock,16053717986172701430170740,https://alphus-u.com/products/men's-dog-print-lace-up-swim-briefs,Men's dog print lace-up swim briefs,"<p>&nbsp;</p>
 <ul>
 <li>Nylon</li>
 <li>Super cute print with comfy elastic waistband, what more do you need?Feels and looks amazing on the body.</li>
 </ul>
 <p>&nbsp;</p>
 <table>
 <tbody>
 <tr>
 <td>Size&nbsp;</td>
 <td>Waist(cm)&nbsp;</td>
 <td>Height(cm)&nbsp;</td>
 <td>Weight(kg)&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;M</td>
 <td>66.7-73.3</td>
 <td>165-170</td>
 <td>50-60&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;L</td>
 <td>76.7--80</td>
 <td>170-175&nbsp;</td>
 <td>60-68&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;XL</td>
 <td>83.3-86.7&nbsp;</td>
 <td>175-180&nbsp;</td>
 <td>68-75&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;XXL</td>
 <td>90- 93.3</td>
 <td>180-185&nbsp;</td>
 <td>75-85&nbsp;</td>
 </tr>
 </tbody>
 </table>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/fe4af83f595c49729209020249482b4a.jpg?w=1000&h=1000,17.99 USD
in stock,16053717962266510787200740,https://alphus-u.com/products/men's-hollow-solid-bikini-swimming-briefs,Men's hollow solid bikini swimming briefs,"<p style=""text-align: left;"">&nbsp;</p>
 <ul>
 <li>Nylon</li>
 <li>Equal parts fun confidence, sexy colors and fashion sense, our unique designs bring together all aspects of the men's bikini.</li>
 </ul>
 <p>&nbsp;</p>
 <table>
 <tbody>
 <tr>
 <td>Size&nbsp;</td>
 <td>Waist(cm)&nbsp;</td>
 <td>Height(cm)&nbsp;</td>
 <td>Weight(kg)&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;M</td>
 <td>66.7-73.3</td>
 <td>165-170</td>
 <td>50-60&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;L</td>
 <td>76.7--80</td>
 <td>170-175&nbsp;</td>
 <td>60-68&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;XL</td>
 <td>83.3-86.7&nbsp;</td>
 <td>175-180&nbsp;</td>
 <td>68-75&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;XXL</td>
 <td>90- 93.3</td>
 <td>180-185&nbsp;</td>
 <td>75-85&nbsp;</td>
 </tr>
 </tbody>
 </table>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/44da52bcd04948d5a5f7452f4398e00c.jpg?w=1000&h=1000,17.99 USD
in stock,16053717871120761651240740,https://alphus-u.com/products/men's-cotton-sports-long-striped-boxer-briefs,Men's cotton sports long striped boxer briefs,"<ul>
 <li>Cotton</li>
 <li>Feel sexy, cute, even daring&mdash;what ever your mood. These long striped boxer briefs boast a comfortable fit perfect for the gym or just hanging out. So go on&mdash;give your bottoms some personality.</li>
 </ul>
 <table>
 <tbody>
 <tr>
 <td>Size&nbsp;</td>
 <td>Waist(cm)&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;S&nbsp;</td>
 <td>68-76&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;M</td>
 <td>76-84&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;L</td>
 <td>84-92&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;XL</td>
 <td>92-102&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;XXL</td>
 <td>104-112&nbsp;</td>
 </tr>
 </tbody>
 </table>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/2948c74468c44b13aa1a315f001c7ad6.jpg?w=1920&h=1920,15.99 USD
in stock,16053717869447905464430740,https://alphus-u.com/products/men's-love-print-sexy-briefs,Men's LOVE print sexy briefs,"<p style=""text-align: left;"">&nbsp;</p>
 <ul>
 <li>Polyester</li>
 <li>Good permeability, no odor, very comfortable.The appearance of fashion.</li>
 </ul>
 <p>&nbsp;</p>
 <table>
 <tbody>
 <tr>
 <td>Size&nbsp;</td>
 <td>Waist(cm)&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;S&nbsp;</td>
 <td>68-76&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;M</td>
 <td>76-84&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;L</td>
 <td>84-92&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;XL</td>
 <td>92-102&nbsp;</td>
 </tr>
 <tr>
 <td>&nbsp;XXL</td>
 <td>104-112&nbsp;</td>
 </tr>
 </tbody>
 </table>
 <p>&nbsp;</p>",https://img-va.myshopline.com/image/store/2000557521/1646034907794/13278056b0c04831a01d45a8c9a3cce1.jpg?w=1000&h=1000,14.99 USD
